用户名,性别,评分,城市,评论,用户等级
故里归长安,2.0,5.0,宁波,超好看，演的超级好，,2
即兴,,5.0,义乌,很好看 下次再来看一次,1
I  can   wait  ....,1.0,4.5,佛山,可以，挺美丽的片子，演员演技超好。,4
Canty·茶妞,2.0,5.0,泰州,前面挺恐怖的，有点吓人，看到后面就好多了,2
Nana517712,,5.0,北海,非常不错，为正义为善良的人们点赞👍,4
小仙女,,5.0,广州,好看，希望每个人去看,2
wnK641905601,,5.0,龙海,太好看了就是结局不满意,3
Demons,1.0,4.5,深圳,肖央演技还是有的，这部电影值得一看啊。,2
A.用轻松的心萌翻世界,,3.0,新郑,好像是借鉴了印度的一个电影不太好看,2
6,,5.0,兴城,好看，每一个演员演的都好,2
小勇,1.0,5.0,上海,故事讲得很好，演员好,3
Peter祝114,1.0,1.0,深圳,演技很差，结尾有点仓促,3
美眉梅枚团,1.0,5.0,厦门,一号去听经二号住旅店三号看电影，奶油面包好好吃呀,1
果冻酸奶柠檬水,2.0,4.5,顺德,挺好看的。小女孩和妈妈演技不错，市长爸爸在这里面有点太惨了。结局是为了过审吧。,3
永恒的天堂,,5.0,郑州,剧情逻辑非常好！好看！,3
幸福生活SC,,5.0,绵阳,"虽然看电影之前看过预告片 但电影还是非常棒的 很好 美团若打分若能有9.8,9.9这种打分 应该更能细分大众的感受",3
萌子870190,2.0,5.0,仙游县,很好看，肖央演技真的棒,2
骆骆6044,,4.5,丽江,我是个没什么本事的男人，没能让你们过得更好，我能做的，就是挡在你们前面！,1
张向峰212,1.0,2.5,苏州,可以，有那么点意思,3
蜡笔没有的小新,,4.0,桐乡,结局看的挺憋屈的，整体好看,2
还行,,5.0,广州,演的很好，肖央真的演啥像啥，非常棒,1
QYK553941572,1.0,5.0,桂林,看就完了…赶紧买票，墨迹啥呢，别刷评论了，看就对了…快点滴说你呢…跟上后面的,3
99,,4.0,中山,不错的电影。,2
只吃小冬瓜,,3.0,黔南,细节不够生动，陈思成导演的片子好像和唐人街探案的过程描述都差不多，没太大兴趣,2
然,2.0,5.0,新郑,好看，看的正义之感油然而生，剧情特别感人,1
Yingjie,,5.0,北京,犯下的错，错过的人，还有机会弥补吗？误杀会告诉你答案～如果善良不被善待，为何还要善良?,2
杜小航,2.0,5.0,温州,很精彩，结局不自首的话就更合我心意了！,4
去全世界转个圈圈,1.0,4.0,青岛,柴门闻犬吠，风雪夜归人,3
彭籽聿,,5.0,沈阳,看得我直冒冷汗 😅 肖央蛮成功,2
Mr.Zhao,1.0,5.0,北京,好看好看好看,1
【天籁·金芭蕾艺校】陈公子,1.0,5.0,忠县,必须评论，这电影是最近看的最好看的一部，虽然说没有太大的场景制作，但是特别烧脑，意外连连，每一个人都刻画的很好，包括那最小的小孩儿演的也特别好，必须点赞👍 ,3
炎沙,1.0,5.0,青岛,赞，真的很震惊，国产电影雄起,4
BMW~周维🔆,,5.0,抚州,值得一看，记得看最后的彩蛋,2
十,1.0,5.0,伊宁,不错，这几年中国的悬疑有很大进步！,2
与你.,,4.5,杭州, 开头  写的很好        结尾 为什么自首           难受,2
hXS187698166,,5.0,北京,不错的电影 很棒,1
ぃ小*丫头℡,2.0,5.0,深圳, 挺让人心惊胆跳的！感觉挺好的呢,3
Улжы,1.0,5.0,阿拉善盟,没点儿智商是真的看不懂，,3
wtydeyy,,5.0,武汉,剧情跌宕起伏,3
左大鬼,1.0,4.0,济南,奶油面包好好吃哦！,2
qTw267671260,,5.0,大连,也太好看了吧！！！,3
Mei.,2.0,5.0,珠海,好看，很感动。,2
蓝天空,1.0,5.0,银川,电影节奏挺快的，环环紧扣。演员也演绎的也很好，是一部很好的电影，值得一看。,1
圆圆,2.0,5.0,平阳,演的不错，虽然已经知道剧情，也想看看下中国版本,4
宪法,2.0,5.0,武汉,父爱如山让人感,1
Ariana163,2.0,5.0,广州,很好看，买了晚上十点多的票，以为会犯困，结果从头到尾看完了，最后还不想那么快结束，这部电影值得一看！,1
Hj,2.0,5.0,长沙,挺好的，看着比较揪心,2
汪俊18752045888,1.0,5.0,南京,电影非常OK,2
星空画室｢邢｣,1.0,5.0,南通,非常好看，人物的表情语言都刻画了很到位  赞,4
🍯,,5.0,利川,精彩，刺激，紧张,1
阿静,,5.0,佛山,很精彩，黑马,2
是我啊！,2.0,5.0,宁波,很有深意，不错不错,2
J.D 、翎,1.0,5.0,长乐,非常好看，最后尸体哪去了,1
后巷的扑街少女,2.0,5.0,西安,牛……牛牛逼,2
lennsky,1.0,4.0,洛阳,"观后感:
1，有的孩子是孩子，有的孩子是禽兽
2，之所以有熊孩子，很大原因是因为有熊家长
3，熊家长通常都是熊孩子受到等价或者超规格的惩罚后才会醒悟
4，接上条，有的还不知悔改
5，有些人让法律失望，是因为法律先让他们失望
6，祖国人民的安全和尊严得到了充分保障，社会主义好！共产党为人民服务！",1
Under the Sun.,2.0,4.0,北京,觉得所有人的演技都挺好的 看着有点眼熟 ,4
@🌈_-L-FF💋,2.0,5.0,九江,好看好看好看啊,2
UQPANG,1.0,4.0,银川,总体还是不错的，悬念的处理如果能再跌宕起伏一些会更好，加油＾０＾~,1
ovp738704953,,5.0,临安,还不错，值得一看,1
韩代燕小飞支持信用卡花呗,2.0,5.0,郴州,意犹未尽～真是看得我后背发凉！过瘾,2
℡強鍺自強,1.0,5.0,南安,很好看，高手的对决！,2
YfX260000500,,5.0,芜湖,电影看着挺不错的,2
季丽华,2.0,5.0,无锡,不错。剧情精彩,4
竹林小溪,2.0,4.0,锦州,男主与公安局长的斗智斗勇表现的不是很惊艳，偷换时间的处理也是有些牵强,1
义薄云天，義,,5.0,西安,片子挺不错的，赞,2
珑,2.0,5.0,广州,国产电影开始逆袭了,3
Xs,2.0,5.0,普宁,挺好看的，教育真的很重要希望些身为人父母的能深有体会好好教育好自己的孩子，不要养出些****的**后悔莫及，一步错 步步错,2
Sefdyn,,5.0,大连,挺好看的，和对象一起去的，表白成功了，屏幕里****的情况下告白了，哈哈哈哈哈哈好奇怪但是好开心,2
愛笑啲賈媛媛媛,,3.5,长沙,还不错，中国式结局,3
伯文,1.0,5.0,邢台,全程无尿点，小女孩站阳台看她妈妈埋尸那个画面吓我一激灵,2
轮回51528,,4.0,宁波,还行，挺好看的吧,2
柠小雪397,2.0,5.0,赣州,总之就是好看！！！,2
_qqwtn1385102175,,5.0,武汉,特别精彩！全程死死盯着剧情,3
王沐呀,,5.0,承德,也许是和他看的最后一场电影了,2
RPy809057744,2.0,5.0,常州,挺感人的父爱,2
          ,1.0,5.0,罗平县,不错，感觉挺恐怖,2
PbC56005038,,5.0,龙岩,很不错的一部电影,2
冰点,1.0,2.5,重庆,剧情简单，就像看电视剧其中一集似的，出了命案，凶手最后自首，完！,1
敬臻,1.0,5.0,郑州,电影悬念设置不错，不要低估一个做父亲的爱,2
🍂 浅念,1.0,5.0,开平,挺有意思的！,2
hTQ477373018,,4.5,攀枝花,很好的一部电影，虽然是翻拍，但也让人心情跌宕起伏，演员们表演都很到位。最后李维杰在狱中难道预示还有下文？,1
伟洁,2.0,5.0,梧州,好看，感触良深,3
阿星,1.0,5.0,郑州,精彩，刺激，各种反转，值得一看（话说肖央的演技还是可以的👍）,3
liubo418418,,5.0,沈阳,这个片子真的不错！故事情节及悬疑风格都很好,2
sAI852521259,2.0,5.0,北京,值得推荐，也有感人的点,3
ULu190079677,,5.0,银川,超刺激，特别喜欢的，建议去看,2
海小带.,,5.0,南昌,超级超级超级好看,1
月小咩,2.0,5.0,吉林,很写实。很精彩。,2
路上的绊脚石,2.0,4.5,北京,强烈推荐这个电影 虽然结局差点意思 但是过程还是很精彩的 get到了肖央的演技 小女孩的表演也很好 今年看过的很好看的悬疑片了 喜欢喜欢喜欢,2
DXO406793490,,4.0,徐州,好看的！！！,3
冯妙君,2.0,5.0,济宁,超级好看，故事也挺感人,2
安逸的羔羊,1.0,4.0,鞍山,不错 剧情细节有逻辑 新颖,3
fudandan,2.0,4.5,海口,爆炸好看！不好看我单手倒立！！！！,4
BmP63553570,2.0,5.0,宁海,太刺激了，都是演技派,2
無人,2.0,5.0,深圳,特别棒的电影，很多细节细思极恐，为数不多的国产优质犯罪悬疑电影. 演技都超棒 nice,2
爱哭的小月亮,,4.0,北京,作为一部饭拍片还是可以的，最喜欢肖央的表演。,2
ReusChan,1.0,5.0,无锡,肖央演的小角色，特别好,4
李世伟367,1.0,5.0,昆明,非常不错的观影环境！,3
✨布莱尼.诺💋,2.0,5.0,杭州,好看，很精彩！,2
猫哆哩,1.0,5.0,成都,感觉还是挺不错的，节奏紧凑，情结跌宕起伏，印象最深的还是陈冲扮演的警察局长，演技炸裂，很棒,3
猎户座,1.0,4.0,梅州,细节安排的不够,1
天天向上,2.0,5.0,上海,非常棒的一部电影，包含众多人们关心的和真实存在的社会现象，引发深思，值得推荐。,2
尉尉尉尉喊谁呢,2.0,4.5,青岛,从剧情到剪辑、运镜整体很棒。但是不影响评陈思诚渣,2
lucky,2.0,5.0,海口,好看，值得一看，演技炸裂啊,2
古城 ˇ仟城墨白,1.0,3.5,哈尔滨,整体来说还是不错的，但是结尾承认之处却将电影的整体规划带入了一般的节奏，感觉结尾有点草率。,2
6年后爱的续签,,5.0,广州,非常好看点赞,2
征、,1.0,0.5,北京,我电影票都没使用 ***叫我写影评,2
wyx.9,,4.5,锡林郭勒,很好看剧情很棒,2
Lonely-15736727321,1.0,5.0,郑州,国产电影的佼佼者,2
小金宝baby,2.0,5.0,沈阳,超级爱看~~很有推理性和逻辑性，值得一看，超级喜欢肖央的演技~推荐,1
bér～lōu～,1.0,4.5,哈尔滨,不错的电影 内容很精彩 值得去看一看 一个父亲为了家人所做的牺牲是值得的 同样 也看出一个母亲为自己的孩子做出巨大贡献,4
xuexue969482,2.0,4.5,彭州,还可以，不过以前看过一部美片，一模一样的剧情。,2
C,,5.0,三亚,"还不错，剧情也感人
",2
粉蒸年糕,1.0,3.5,武汉,还好吧，套路化，强行感动,2
-出格,1.0,5.0,常州,太特码得劲了,2
小台儿,,4.0,襄阳,看的还不错。,2
是花蕊啊,,5.0,兰州,演技在线情节紧凑，强推！就是胆小的女生慎看，很多细思极恐的细节让人不寒而栗,3
嘿😋嘿,1.0,4.0,廉江,中国版的，缺少创意。观众应该是没看过某国原创的。才会给出这部九分以上的高分。中国电影也要学下某国，给点自己的创意剧情。,4
YY猪的小天堂,,5.0,成都,二刷爱了！！！肖大大棒,4
捌月飛灀,1.0,5.0,六安,完美，值得看的好电影,3
向阳,1.0,4.0,济宁,还可以 剧情简单  整体在泰国🇹🇭 拍摄  ,3
起风了,2.0,5.0,广州,很感动，看哭了，情节很好，感觉看不过瘾还很想看,2
璀璨的星海,1.0,4.5,深圳,真的很棒，情节也很紧凑,5
wEV672472084,,5.0,涿州,老戏骨👍👍,3
vHU847415464,,5.0,东阳,被肖老师的演技震惊,2
蔚蔚0915,2.0,4.5,海口,肖央演技不错！陈冲最佳女配！,3
aZs400901703,,4.5,成都,很好看，需要仔细观影,3
Xdi610152895,,5.0,沈阳,说实话，有的地方没看懂，挺烧脑的，而且剧情给人一种紧张感，演员演技也非常好，小女孩很可爱,1
吴,1.0,5.0,集美,很好看，有些细节拍得很到位。就是高智商的犯罪。我很喜欢这部电影。,1
王小哏,,4.5,长春,非常好，超出我的想像，最开始我以为只是仿照嫌疑人X的献身，后来发现误杀里面的情感很到位。,3
gzf,2.0,5.0,蚌埠,肖央演技爆棚。尤其下巴贼出戏仔细看。,3
张爱晞一直播ID:370600625,2.0,5.0,磐石,保护你是我唯一能做的,3
小马哥,1.0,5.0,嘉兴,2019年最好的一部电影！应该排第一名！,2
伴你挥霍一生i,2.0,4.0,福州,听不错的，就是结局不大好,2
