用户名,用户主页,推荐星级,评论时间,短评信息,投票次数,城市,用户签名
小明明,https://www.douban.com/people/4621746/,力荐,2019-12-07 21:35:57,我想说这应该是我看到的2019年最好的国产商业片了。这是不是佐证了肖央是唐人街探案里排行榜第一的Q？,3178,"Auckland, New Zealand",无签名
凌睿,https://www.douban.com/people/lingrui1995/,还行,2019-12-09 15:07:33,"完全是原版《误杀瞒天计》的剧本的功劳，电影其实拍得很一般。
导演还自作聪明加了一个男主角删除监控录像的桥段，警方一恢复数据不就知道你在撒谎了吗？
而且真的不建议国内翻拍犯罪片，两部电影一对比，反而凸显国内审查严格得过头了。
《误杀》发生在泰国，《破·局》发生在马来西亚，《大人物》发生在虚构的滨海市。
演员都是中国人，说的都是普通话，何必要把背景设置为泰国？大家都懂。
当然也少不了男主角自首的结局，直接毁了整部电影。
原版男主角不仅没有自首，还把督察长的儿子埋在了警察局的地下，隐喻只有将腐败和黑暗踩在脚下，才能在上面建立起正义和公平。
本来电影表达的是，坏警察掌权、法律没有用的时候，也可以战胜黑暗势力。
你去自首，就仿佛在说：被性侵、被威胁千万不要反抗，因为万一把对方误杀了，那是要坐牢的。",9920,重庆,一个影迷
m89,https://www.douban.com/people/duzhouchi/,还行,2019-12-08 16:30:03,陈思诚是内地电影圈中难得的推理迷，自己搞搞贺岁擦边球，偶尔监制个本格些的作品，挺好。原来泰国也不想背锅啊，搞出来个架空的赛国…本来可以多给些分数，但结尾又忏悔又自首的，实在很太难顶。推理的部分看点不多，ATM的时间诡计勉强算一个吧，至于XX转移这种小儿科，也亏导演能渲染十分钟。陈冲的表演加分不少，不怒自威的气场稀释了肖央带来的喜剧感。,1457,"Port-au-Prince, Haiti",此生多寒凉 此身越重洋
铅纸鹤,https://www.douban.com/people/152377964/,推荐,2019-12-07 16:13:14,给我查他一年的观影记录！,6842,辽宁大连,无签名
爱玩电影的人,https://www.douban.com/people/142084334/,力荐,2019-12-07 21:59:59,精彩！甚至超出原版！情节更加紧凑！如果很爱电影的人看这部电影一定很爱这部电影。虽然看过一千部电影和破过一千个案子比较，显然前者更为逊色，但依靠蒙太奇就能做出一条完整的证据链，实在惊艳！各位主演演技水准之上，镜头把控节奏带感，雨中认尸一段慢镜头的使用特别值得玩味！另外结尾处理得相对合理，但还是稍显突兀。最后采访一段的留白也有韵味。近年翻拍的上乘之作。,1586,"开平, 江门",独立影评人
影志,https://www.douban.com/people/tjz230/,推荐,2019-12-11 00:56:33,“没有平局，我们只能做赢的那一方” 霸气的国产类型片，即便翻拍，也不失硬朗。那句“给我查他一年的观影记录！” 真是笑死了，你还能咋查，不就是上豆瓣吗？哈哈哈哈,3945,北京,无签名
无耻不混蛋,https://www.douban.com/people/miumiu-li/,推荐,2019-12-08 15:50:15,"我没想到，今年最让我看得过瘾看得“爽”的国产犯罪片，居然是这部《误杀》。虽然改编自印度《误杀瞒天计》，却融入了很多日韩电影精气神，算是靠谱的改编方式。大量推理细节和线索都被保留，在犯罪开始之后节奏紧张刺激到停不下来，破案解谜的爽感逐步递进，近年来国产犯罪片不少，但能这样拍实属难得。影片对手戏好看，肖央vs陈冲，陈冲vs谭卓，陈冲与谭卓自不必说，更让我刮目相看的是肖央，《老男孩》后，这部才是他真正有份量的作品。
",1950,北京,无签名
壹安²,https://www.douban.com/people/rayland/,力荐,2019-12-09 14:29:52,应该是今年贺岁档最有劲儿的一部电影了，题材很大胆，父亲很勇敢，惹了惹不起的，知道瞒天过海也会露馅，于是给自己留一招必杀技做后路！虽然有几分理想状态，但确实年度解气！最后一定要表白陈冲老师，气场这个东西不是随便哪个“戏骨”能驾驭的。,413,北京,Just Like Fire
不良生,https://www.douban.com/people/angle223/,推荐,2019-12-07 22:33:31,鸽子飞不过塔顶，替罪的永远是羊，我们误杀他人，也曾被他人误杀，尘世永远有正义抵达不了的地方。看得很爽，因为希望男主一家逃脱漩涡，公道比律法更有分量；看得哀伤，因为无论孩子是天使还是恶魔，都有一个父/母对ta爱到发狂。反杀反转很爽，庆幸这没有发生在我们的领地上，可惜这没有发生在我们的领地上。,1959,江苏南京,http://weibo.com/angle223
嘟嘟熊之父,https://www.douban.com/people/duduxiongzhifu/,推荐,2019-12-07 16:23:42,好于印度原版，将不痛不痒的现实主义裹脚布改造成高度浓缩的社会寓言。羊命、蒙太奇、架空国度、多重人物身份，可以置放在任何政治语境下进行解读。对准面孔的长久凝视，是试探和挑衅，也是控诉和审判。陈冲太猛，狰狞的表情犹如恶魔附体。,1532,北京,谁来拧动拧发条鸟的发条
草威,https://www.douban.com/people/Cao-Wei/,推荐,2019-12-14 21:39:23,看过100部国产电影你就会知道，没有什么故事是一个特色结局毁不掉的。,871,北京,错喜欢
王大根,https://www.douban.com/people/diewithme/,还行,2019-12-10 21:39:12,比《嫌疑人X的献身》本人还要更《嫌疑人Ｘ的献身》，与其看肖央演三手《嫌疑人Ｘ的献身》，还不如让谭卓演《一个母亲的复仇》吧。这个片居然一上来就讲男主是犯罪悬疑片爱好者，一年观影八百部，实施完美犯罪前先把各国电影过一遍，这不禁给我们国祥又提供了一个新思路：早知道我说陈念是东野圭吾书迷不就完了？？后面勘破男主作案手法，居然是靠查男主的观！影！记！录！豆瓣上的各位可要小心了！,1043,北京,吃屎
亵渎电影,https://www.douban.com/people/zhangzongqian/,还行,2019-12-11 03:20:29,这版翻拍版的质量肯定是没法跟那两部印度版比了，就算把故事搬到了泰国，还是必须强拧一个大家懂得的那种中国国情版结果，这时候电影的主题早就不是原版的主题了，深度也自然没法跟原版比了。因为有原版的故事打底，这部翻拍版在犯罪悬疑的剧情上还是可以看的，还加入了一些迷影元素。陈冲直接查肖央一年内的观影记录，就能火速破案实在是太二了，查出来的那部韩国电影《蒙太奇》也是确有此片，这里面“高智商犯罪蒙太奇剪辑”的逻辑是不是严谨，那就是另一回事了，大家跟着快节奏的剪辑兴奋一下就行，不必深究，只有ATM取款机那一处蒙太奇是亮点。当然，这部也没将重心放在高智商蒙太奇上，而且把主题变成了民众对抗社会公权力，但最后的那个你懂的结尾，其背后的逻辑让人细思极恐。,1054,北京,I’m back!
猫奴十二年,https://www.douban.com/people/IvanLaw7/,很差,2019-12-05 20:43:20,正在看，看了一个钟头，一星不可更改。镜头语言缺乏力量感，全靠背景音乐来凑，整得跟电视剧一样，点进导演主页看，还真拍了唐探电视剧。剧本上第一幕完全是学生水平，什么都往里面堆，东一榔头西一棒子。中间点后不想仔细看了，无非就是影迷大战警察，看着好故事一步步被毁掉真是痛心,177,Antigua and Barbuda,当你不开心时，带猫前行
